1 5000 10 1048576 0.565639 0.111775 113.128 0.017
2 5000 10 1048576 0.533588 0.104644 106.718 0.036
4 5000 10 1048576 0.535654 0.085200 107.131 0.071
8 5000 10 1048576 0.522424 0.074939 104.485 0.146
16 5000 10 1048576 0.505978 0.044586 101.196 0.302
32 5000 10 1048576 0.560545 0.116619 112.109 0.544
64 5000 10 1048576 0.561112 0.134723 112.222 1.088
128 4096 10 1048576 0.501171 0.084112 122.356 1.995
256 2048 10 1048576 0.222595 0.053300 108.689 4.492
512 1024 10 1048576 0.101062 0.018727 98.694 9.895
1024 512 10 1048576 0.038807 0.013256 75.794 25.769
2048 256 10 1048576 0.017545 0.003279 68.535 56.997
4096 128 10 1048576 0.006234 0.000977 48.704 160.408
8192 64 10 1048576 0.003250 0.000621 50.779 307.708
16384 32 10 1048576 0.003015 0.000407 94.226 331.649
32768 16 10 1048576 0.002363 0.000188 147.712 423.121
65536 8 10 1048576 0.002015 0.000333 251.836 496.355
131072 5 10 1048576 0.001752 0.000270 350.339 713.595
262144 5 10 1048576 0.003586 0.000054 717.221 697.135
524288 5 10 1048576 0.006849 0.000816 1369.794 730.037
1048576 5 10 1048576 0.012462 0.001606 2492.427 802.431
2097152 5 10 1048576 0.018499 0.000837 3699.870 1081.119
4194304 5 10 1048576 0.028624 0.012242 5724.811 1397.426
8388608 5 10 1048576 0.072814 0.002223 14562.806 1098.689
16777216 5 10 1048576 0.089937 0.007756 17987.336 1779.029
33554432 5 10 1048576 0.319896 0.023508 63979.245 1000.324
67108864 5 10 1048576 0.510909 0.035416 102181.800 1252.669
