1 10 10 0.000445 0.000129 44.525 0.043
2 10 10 0.000220 0.000027 22.031 0.173
4 10 10 0.000582 0.000139 58.213 0.131
8 10 10 0.000199 0.000023 19.859 0.768
16 10 10 0.000498 0.000057 49.803 0.613
32 10 10 0.000386 0.000041 38.569 1.582
64 10 10 0.000307 0.000023 30.735 3.972
128 10 10 0.000450 0.000022 44.985 5.427
256 10 10 0.000229 0.000012 22.945 21.281
512 10 10 0.000388 0.000092 38.802 25.168
1024 10 10 0.000211 0.000034 21.082 92.643
2048 10 10 0.000435 0.000039 43.509 89.781
4096 10 10 0.000554 0.000026 55.350 141.147
8192 10 10 0.000582 0.000055 58.172 268.600
16384 10 10 0.000907 0.000061 90.691 344.575
32768 10 10 0.000906 0.000216 90.551 690.218
65536 10 10 0.001481 0.000147 148.144 843.771
131072 10 10 0.002644 0.000339 264.436 945.409
262144 10 10 0.007219 0.001815 721.916 692.602
524288 10 10 0.017330 0.003308 1732.959 577.048
1048576 10 10 0.027520 0.006201 2752.007 726.742
2097152 10 10 0.025813 0.003014 2581.306 1549.603
4194304 10 10 0.049583 0.008105 4958.320 1613.450
8388608 10 10 0.090969 0.011850 9096.857 1758.849
16777216 10 10 0.282250 0.012519 28225.012 1133.746
33554432 10 10 0.493875 0.137770 49387.539 1295.873
67108864 10 10 0.744882 0.008976 74488.204 1718.393
134217728 10 10 1.697198 0.116757 169719.766 1508.369
