1 100 10 0.005109 0.000243 51.085 0.037
2 100 10 0.006697 0.002834 66.970 0.057
4 100 10 0.005218 0.000410 52.180 0.146
8 100 10 0.003735 0.001347 37.348 0.409
16 100 10 0.003725 0.000748 37.246 0.819
32 100 10 0.004351 0.000334 43.507 1.403
64 100 10 0.003049 0.001091 30.488 4.004
128 100 10 0.003345 0.001071 33.453 7.298
256 100 10 0.005176 0.000832 51.759 9.434
512 100 10 0.005024 0.000205 50.237 19.439
1024 100 10 0.004701 0.000278 47.006 41.551
2048 100 10 0.005433 0.000435 54.325 71.905
4096 100 10 0.006300 0.001678 63.005 123.999
8192 100 10 0.008247 0.000698 82.468 189.467
16384 100 10 0.007555 0.000486 75.553 413.616
32768 100 10 0.018118 0.003269 181.176 344.969
65536 100 10 0.022696 0.002440 226.962 550.753
131072 100 10 0.040393 0.005064 403.932 618.915
262144 100 10 0.054003 0.013517 540.025 925.883
524288 100 10 0.074521 0.024871 745.208 1341.907
1048576 100 10 0.157756 0.044903 1577.561 1267.780
2097152 100 10 0.218630 0.026168 2186.296 1829.578
4194304 100 10 0.463857 0.066623 4638.574 1724.668
8388608 100 10 1.193140 0.284701 11931.397 1341.000
16777216 100 10 2.348908 0.512714 23489.082 1362.335
33554432 100 10 6.521757 0.379634 65217.571 981.331
67108864 100 10 9.997231 1.551264 99972.309 1280.355
134217728 100 10 17.451246 0.697348 174512.457 1466.944
