1 1000 10 0.072389 0.014925 72.389 0.026
2 1000 10 0.055229 0.010260 55.229 0.069
4 1000 10 0.049143 0.005070 49.143 0.155
8 1000 10 0.047071 0.005597 47.071 0.324
16 1000 10 0.047215 0.004010 47.215 0.646
32 1000 10 0.059890 0.012619 59.890 1.019
64 1000 10 0.052943 0.006987 52.943 2.306
128 1000 10 0.066551 0.013267 66.551 3.668
256 1000 10 0.058866 0.009849 58.866 8.295
512 1000 10 0.047960 0.004474 47.960 20.362
1024 1000 10 0.056045 0.008340 56.045 34.849
2048 1000 10 0.056592 0.004881 56.592 69.024
4096 1000 10 0.061189 0.006997 61.189 127.679
8192 1000 10 0.059300 0.006379 59.300 263.492
16384 1000 10 0.073902 0.007457 73.902 422.857
32768 1000 10 0.093437 0.004413 93.437 668.901
65536 1000 10 0.138216 0.013757 138.216 904.380
131072 1000 10 0.235781 0.035905 235.781 1060.304
262144 1000 10 0.423149 0.107321 423.149 1181.618
524288 1000 10 0.673019 0.064417 673.019 1485.842
1048576 1000 10 1.906404 0.389798 1906.404 1049.095
2097152 1000 10 2.702630 0.468621 2702.630 1480.040
4194304 1000 10 5.672365 1.012371 5672.365 1410.347
8388608 1000 10 11.529301 0.846917 11529.301 1387.768
16777216 1000 10 21.551116 2.348023 21551.116 1484.842
33554432 1000 10 56.870366 7.602251 56870.366 1125.366
67108864 1000 10 89.327119 5.128233 89327.119 1432.935
134217728 1000 10 170.346226 2.601577 170346.226 1502.822
